Round,Result,Player Profile,Opponent Profile,Record,Location
26,3,LuisVenegas,LuisVenegas,HigorMenezes,2-1-0,rc_sao_paulo_11_01_2025
28,5,LuisVenegas,LuisVenegas,Borreguinhas,2-1-0,rc_sao_paulo_11_01_2025
29,6,LuisVenegas,LuisVenegas,DiegoPeliser,2-1-0,rc_sao_paulo_11_01_2025
30,7,LuisVenegas,LuisVenegas,perez,2-0-0,rc_sao_paulo_11_01_2025
31,8,LuisVenegas,LuisVenegas,mortadela,2-0-0,rc_sao_paulo_11_01_2025
32,9,LuisVenegas,LuisVenegas,VictorEsquici,2-1-0,rc_sao_paulo_11_01_2025
33,10,LuisVenegas,LuisVenegas,nv_goblin,2-1-0,rc_sao_paulo_11_01_2025
35,1,Nbdf,Nbdf,Borreguinhas,2-0-0,rc_sao_paulo_11_01_2025
36,2,Nbdf,Nbdf,sebastianpozzo,2-0-0,rc_sao_paulo_11_01_2025
37,3,Nbdf,Nbdf,giliad,2-1-0,rc_sao_paulo_11_01_2025
39,5,Nbdf,Nbdf,Ruda,2-0-0,rc_sao_paulo_11_01_2025
40,6,Nbdf,Nbdf,pururin,2-1-0,rc_sao_paulo_11_01_2025
42,8,Nbdf,Nbdf,Soulkiddz,2-1-0,rc_sao_paulo_11_01_2025
43,9,Nbdf,Nbdf,FehRoss,2-1-0,rc_sao_paulo_11_01_2025
44,10,Nbdf,Nbdf,Choco,2-1-0,rc_sao_paulo_11_01_2025
46,1,TabularTony,TabularTony,vediamaxi,2-0-0,rc_sao_paulo_11_01_2025
47,2,TabularTony,TabularTony,Alexandrerleite,2-0-0,rc_sao_paulo_11_01_2025
49,4,TabularTony,TabularTony,gabriel1500,2-0-0,rc_sao_paulo_11_01_2025
50,5,TabularTony,TabularTony,zveibil,2-0-0,rc_sao_paulo_11_01_2025
51,6,TabularTony,TabularTony,Marcelopez,2-0-0,rc_sao_paulo_11_01_2025
52,7,TabularTony,TabularTony,Crastideas,2-0-0,rc_sao_paulo_11_01_2025
54,9,TabularTony,TabularTony,IFLacerda,2-0-0,rc_sao_paulo_11_01_2025
56,1,Choco,Choco,BTM_Vitas,2-0-0,rc_sao_paulo_11_01_2025
57,2,Choco,Choco,kezko,2-0-0,rc_sao_paulo_11_01_2025
58,3,Choco,Choco,CamiloC,2-1-0,rc_sao_paulo_11_01_2025
59,4,Choco,Choco,ThalesBion,2-0-0,rc_sao_paulo_11_01_2025
61,6,Choco,Choco,Caduerrerias,2-1-0,rc_sao_paulo_11_01_2025
62,7,Choco,Choco,WMiyoshi,2-0-0,rc_sao_paulo_11_01_2025
63,8,Choco,Choco,patrick50,2-1-0,rc_sao_paulo_11_01_2025
66,1,nv_goblin,nv_goblin,Cris,2-0-0,rc_sao_paulo_11_01_2025
67,2,nv_goblin,nv_goblin,Rastaf,2-1-0,rc_sao_paulo_11_01_2025
68,3,nv_goblin,nv_goblin,l1x0,2-0-0,rc_sao_paulo_11_01_2025
69,4,nv_goblin,nv_goblin,Samsaquibuz,2-0-0,rc_sao_paulo_11_01_2025
71,6,nv_goblin,nv_goblin,PulgarX,2-0-0,rc_sao_paulo_11_01_2025
72,7,nv_goblin,nv_goblin,MtgGreven,2-1-0,rc_sao_paulo_11_01_2025
73,8,nv_goblin,nv_goblin,giliad,2-0-0,rc_sao_paulo_11_01_2025
77,2,joaoclaudioms,joaoclaudioms,Thiagobt,2-0-0,rc_sao_paulo_11_01_2025
78,3,joaoclaudioms,joaoclaudioms,dorkalmeida,2-0-0,rc_sao_paulo_11_01_2025
80,5,joaoclaudioms,joaoclaudioms,adrienhv,2-0-0,rc_sao_paulo_11_01_2025
81,6,joaoclaudioms,joaoclaudioms,InsideGames,1-0-0,rc_sao_paulo_11_01_2025
82,7,joaoclaudioms,joaoclaudioms,Renatoaraujo,2-1-0,rc_sao_paulo_11_01_2025
83,8,joaoclaudioms,joaoclaudioms,AxelRodriguez,2-1-0,rc_sao_paulo_11_01_2025
84,9,joaoclaudioms,joaoclaudioms,Summerbabe,2-1-0,rc_sao_paulo_11_01_2025
87,2,Borreguinhas,Borreguinhas,igorneiva,2-0-0,rc_sao_paulo_11_01_2025
88,3,Borreguinhas,Borreguinhas,Vatcoff,2-0-0,rc_sao_paulo_11_01_2025
89,4,Borreguinhas,Borreguinhas,HatakeKakashi,2-0-0,rc_sao_paulo_11_01_2025
91,6,Borreguinhas,Borreguinhas,FernandoPortugal,2-1-0,rc_sao_paulo_11_01_2025
92,7,Borreguinhas,Borreguinhas,JuanCerda,2-0-0,rc_sao_paulo_11_01_2025
93,8,Borreguinhas,Borreguinhas,zEddie,2-0-0,rc_sao_paulo_11_01_2025
94,9,Borreguinhas,Borreguinhas,MisterConga,2-1-0,rc_sao_paulo_11_01_2025
95,1,Jucamoser,Jucamoser,Sizza,2-0-0,rc_sao_paulo_11_01_2025
96,2,Jucamoser,Jucamoser,Carlitos,2-0-0,rc_sao_paulo_11_01_2025
97,3,Jucamoser,Jucamoser,rxavier,2-0-0,rc_sao_paulo_11_01_2025
98,4,Jucamoser,Jucamoser,PedroM,2-0-0,rc_sao_paulo_11_01_2025
101,7,Jucamoser,Jucamoser,okiba,2-0-0,rc_sao_paulo_11_01_2025
102,8,Jucamoser,Jucamoser,Zabariel,2-1-0,rc_sao_paulo_11_01_2025
103,9,Jucamoser,Jucamoser,MtgGreven,2-1-0,rc_sao_paulo_11_01_2025
104,1,Coglorin,Coglorin,Rulo,2-1-0,rc_sao_paulo_11_01_2025
105,2,Coglorin,Coglorin,Ferio0192,2-1-0,rc_sao_paulo_11_01_2025
107,4,Coglorin,Coglorin,willpioli,2-0-0,rc_sao_paulo_11_01_2025
109,6,Coglorin,Coglorin,FranciscoG,2-1-0,rc_sao_paulo_11_01_2025
110,7,Coglorin,Coglorin,mateusmayer,2-0-0,rc_sao_paulo_11_01_2025
111,8,Coglorin,Coglorin,l1x0,2-0-0,rc_sao_paulo_11_01_2025
112,9,Coglorin,Coglorin,patrick50,2-1-0,rc_sao_paulo_11_01_2025
113,1,ThalesBion,ThalesBion,igorneiva,2-1-0,rc_sao_paulo_11_01_2025
114,2,ThalesBion,ThalesBion,MarcoAurelioLima,2-0-0,rc_sao_paulo_11_01_2025
115,3,ThalesBion,ThalesBion,Coglorin,2-1-0,rc_sao_paulo_11_01_2025
117,5,ThalesBion,ThalesBion,Schiaveto,2-0-0,rc_sao_paulo_11_01_2025
119,7,ThalesBion,ThalesBion,Cachorrowo,2-1-0,rc_sao_paulo_11_01_2025
120,8,ThalesBion,ThalesBion,msalles,2-1-0,rc_sao_paulo_11_01_2025
121,9,ThalesBion,ThalesBion,giliad,2-1-0,rc_sao_paulo_11_01_2025
122,1,Frota1982,Frota1982,FranciscoG,2-0-0,rc_sao_paulo_11_01_2025
123,2,Frota1982,Frota1982,giorepe,2-1-0,rc_sao_paulo_11_01_2025
124,3,Frota1982,Frota1982,digarcia,2-0-0,rc_sao_paulo_11_01_2025
125,4,Frota1982,Frota1982,niitroo,2-0-0,rc_sao_paulo_11_01_2025
126,5,Frota1982,Frota1982,PulgarX,2-1-0,rc_sao_paulo_11_01_2025
130,9,Frota1982,Frota1982,raphaludo,2-0-0,rc_sao_paulo_11_01_2025
131,1,zveibil,zveibil,Zanetti,2-1-0,rc_sao_paulo_11_01_2025
132,2,zveibil,zveibil,Yisus2018,2-1-0,rc_sao_paulo_11_01_2025
134,4,zveibil,zveibil,Edel,2-0-0,rc_sao_paulo_11_01_2025
136,6,zveibil,zveibil,TerribadMTG,2-1-0,rc_sao_paulo_11_01_2025
137,7,zveibil,zveibil,Shadowfriend,2-0-0,rc_sao_paulo_11_01_2025
138,8,zveibil,zveibil,giorepe,2-0-0,rc_sao_paulo_11_01_2025
139,9,zveibil,zveibil,rxavier,2-1-0,rc_sao_paulo_11_01_2025
140,1,HatakeKakashi,HatakeKakashi,Treuko,2-1-0,rc_sao_paulo_11_01_2025
142,3,HatakeKakashi,HatakeKakashi,vediamaxi,2-0-0,rc_sao_paulo_11_01_2025
144,5,HatakeKakashi,HatakeKakashi,MarcoAurelioLima,2-1-0,rc_sao_paulo_11_01_2025
145,6,HatakeKakashi,HatakeKakashi,RodrigoCavalheiro,2-1-0,rc_sao_paulo_11_01_2025
146,7,HatakeKakashi,HatakeKakashi,Caduerrerias,2-1-0,rc_sao_paulo_11_01_2025
147,8,HatakeKakashi,HatakeKakashi,WMiyoshi,2-0-0,rc_sao_paulo_11_01_2025
148,9,HatakeKakashi,HatakeKakashi,NicholasG2,2-1-0,rc_sao_paulo_11_01_2025
150,2,Rulo,Rulo,Zezito,2-0-0,rc_sao_paulo_11_01_2025
151,3,Rulo,Rulo,Levunga,2-1-0,rc_sao_paulo_11_01_2025
153,5,Rulo,Rulo,Kevincito,2-1-0,rc_sao_paulo_11_01_2025
154,6,Rulo,Rulo,Bazarovsk,2-1-0,rc_sao_paulo_11_01_2025
155,7,Rulo,Rulo,Samsaquibuz,2-0-0,rc_sao_paulo_11_01_2025
156,8,Rulo,Rulo,Hernan_Lobos,2-1-0,rc_sao_paulo_11_01_2025
157,9,Rulo,Rulo,Isael,2-0-0,rc_sao_paulo_11_01_2025
158,1,NicoDays,NicoDays,Isael,2-1-0,rc_sao_paulo_11_01_2025
160,3,NicoDays,NicoDays,BigKoala13,2-0-0,rc_sao_paulo_11_01_2025
161,4,NicoDays,NicoDays,Julian,1-0-0,rc_sao_paulo_11_01_2025
162,5,NicoDays,NicoDays,icarobranco,2-1-0,rc_sao_paulo_11_01_2025
164,7,NicoDays,NicoDays,JAMERSON,2-1-0,rc_sao_paulo_11_01_2025
165,8,NicoDays,NicoDays,victormanuelobo,2-0-0,rc_sao_paulo_11_01_2025
